country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,76,,99,209,172,137,,,,72,,,,,,,,,,,
Afghanistan,,,,,889k,,,,,,,,,,,,,,,,,,,1.12M,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,312k,341k,,,,,,,,,,,,,,,547k,,,,,,,,,,442k,482k,515k,603k,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5390,6090,7120,,9400,9410,,,,10.6k,15.3k,13.2k,10.4k,6330,2630,,,,,,,1470
United Arab Emirates,,,,,,,,,6640,,9880,13k,12k,16.6k,18.4k,20.3k,21.2k,14.3k,12.6k,8720,4860,4310,8870,11.4k,13.9k,14.1k,17.9k,23.5k,23.3k,,,,,,,,,6770,,,,,8360,9400,,,,,,,
Argentina,61.1k,,,,60.7k,65.2k,,,,,,,,,,,,,,,,91.4k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9730,10.5k,,6450,3810,843,,,,2720,2020,2030,3780,3110,4100,4630,5380,6950,8260
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,257,25,,62,,,
Australia,,24.7k,,32.4k,36.7k,18.4k,12k,,,,,,7160,15.8k,28.2k,25.4k,19.3k,14.5k,9350,8660,12.5k,17.1k,19k,22.5k,24.8k,41.7k,37.2k,39.6k,37.2k,37.9k,36.3k,,,8350,5680,,,,,,,17.9k,15.7k,,,,,3170,5120,7680,
Austria,,,,,,,,,,,,,,,,,,,,8780,,,,,,,,,,,575,2380,6110,6580,5280,4190,4750,4650,5130,4150,4020,4630,2800,1820,985,521,186,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,11.6k,10.5k,14.9k,46.3k,24.9k,9530,39.8k,44.9k,17.5k,31.4k,41k,42.6k,52.2k,43.4k,45.5k,44.3k,34.9k,34.1k,31k,31.7k,26.5k,20.9k,8360,,,,3370,12k,21.3k,27.1k
Burundi,,,,254k,,,,,267k,,269k,267k,265k,255k,247k,241k,239k,228k,223k,,,,,270k,,,,,,,379k,337k,347k,326k,308k,288k,173k,124k,52.7k,56.6k,22.8k,,,,,,,23.2k,44.4k,55.3k,
Belgium,,,,,,,,15.4k,,8580,6270,9900,10.2k,20.2k,21.9k,22.8k,17.5k,11.6k,6850,,,7220,12.8k,7100,9590,9820,8280,,,,2300,,1100,4710,9620,11k,10.1k,6390,4200,4870,5550,4950,4280,4460,5250,4340,3380,1100,1280,1820,
